Series,Country,Rank,Year
"5.01 Secondary education enrollment, gross %*",Switzerland,42,2017-2018
"5.02 Tertiary education enrollment, gross %*",Switzerland,47,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,3,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Switzerland,11,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2017-2018
5th pillar: Higher education and training,Switzerland,5,2017-2018
"5.01 Secondary education enrollment, gross %*",Switzerland,47,2016-2017
"5.02 Tertiary education enrollment, gross %*",Switzerland,47,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,4,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Switzerland,10,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2016-2017
5th pillar: Higher education and training,Switzerland,4,2016-2017
"5.01 Secondary education enrollment, gross %*",Switzerland,51,2015-2016
"5.02 Tertiary education enrollment, gross %*",Switzerland,46,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,4,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Switzerland,16,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2015-2016
5th pillar: Higher education and training,Switzerland,4,2015-2016
"5.01 Secondary education enrollment, gross %*",Switzerland,50,2014-2015
"5.02 Tertiary education enrollment, gross %*",Switzerland,47,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,4,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Switzerland,13,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2014-2015
5th pillar: Higher education and training,Switzerland,4,2014-2015
"5.01 Secondary education enrollment, gross %*",Switzerland,52,2013-2014
"5.02 Tertiary education enrollment, gross %*",Switzerland,45,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Switzerland,12,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2013-2014
5th pillar: Higher education and training,Switzerland,4,2013-2014
"5.01 Secondary education enrollment, gross %*",Switzerland,50,2012-2013
"5.02 Tertiary education enrollment, gross %*",Switzerland,43,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Switzerland,3,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Switzerland,6,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2012-2013
5th pillar: Higher education and training,Switzerland,3,2012-2013
"5.01 Secondary education enrollment, gross %*",Switzerland,43,2011-2012
"5.02 Tertiary education enrollment, gross %*",Switzerland,51,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Switzerland,1,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,4,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Switzerland,3,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Switzerland,9,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Switzerland,1,2011-2012
5th pillar: Higher education and training,Switzerland,3,2011-2012
"5.01 Secondary education enrollment, gross %*",Switzerland,38,2010-2011
"5.02 Tertiary education enrollment, gross %*",Switzerland,48,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Switzerland,2,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Switzerland,2,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Switzerland,7,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Switzerland,2,2010-2011
5th pillar: Higher education and training,Switzerland,4,2010-2011
"5.01 Secondary education enrollment, gross %*",Switzerland,49,2009-2010
"5.02 Tertiary education enrollment, gross %*",Switzerland,46,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Switzerland,2,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Switzerland,1,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Switzerland,8,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Switzerland,3,2009-2010
5th pillar: Higher education and training,Switzerland,6,2009-2010
"5.01 Secondary education enrollment, gross %*",Switzerland,52,2008-2009
"5.02 Tertiary education enrollment, gross %*",Switzerland,45,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Switzerland,3,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Switzerland,2,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Switzerland,8,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,2,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Switzerland,2,2008-2009
5th pillar: Higher education and training,Switzerland,7,2008-2009
"5.01 Secondary education enrollment, gross %*",Switzerland,46,2007-2008
"5.02 Tertiary education enrollment, gross %*",Switzerland,37,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Switzerland,3,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Switzerland,5,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Switzerland,3,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Switzerland,10,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Switzerland,1,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Switzerland,2,2007-2008
5th pillar: Higher education and training,Switzerland,7,2007-2008
"5.01 Secondary education enrollment, gross %*",Syria,,2017-2018
"5.02 Tertiary education enrollment, gross %*",Syria,,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Syria,,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Syria,,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Syria,,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Syria,,2017-2018
5th pillar: Higher education and training,Syria,,2017-2018
"5.01 Secondary education enrollment, gross %*",Syria,,2016-2017
"5.02 Tertiary education enrollment, gross %*",Syria,,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Syria,,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Syria,,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Syria,,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Syria,,2016-2017
5th pillar: Higher education and training,Syria,,2016-2017
"5.01 Secondary education enrollment, gross %*",Syria,,2015-2016
"5.02 Tertiary education enrollment, gross %*",Syria,,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Syria,,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Syria,,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Syria,,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Syria,,2015-2016
5th pillar: Higher education and training,Syria,,2015-2016
"5.01 Secondary education enrollment, gross %*",Syria,,2014-2015
"5.02 Tertiary education enrollment, gross %*",Syria,,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Syria,,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Syria,,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Syria,,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Syria,,2014-2015
5th pillar: Higher education and training,Syria,,2014-2015
"5.01 Secondary education enrollment, gross %*",Syria,,2013-2014
"5.02 Tertiary education enrollment, gross %*",Syria,,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Syria,,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Syria,,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Syria,,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Syria,,2013-2014
5th pillar: Higher education and training,Syria,,2013-2014
"5.01 Secondary education enrollment, gross %*",Syria,,2012-2013
"5.02 Tertiary education enrollment, gross %*",Syria,,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Syria,,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Syria,,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Syria,,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Syria,,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Syria,,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Syria,,2012-2013
5th pillar: Higher education and training,Syria,,2012-2013
"5.01 Secondary education enrollment, gross %*",Syria,98,2011-2012
"5.02 Tertiary education enrollment, gross %*",Syria,78,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Syria,96,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Syria,62,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Syria,108,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Syria,120,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Syria,110,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Syria,140,2011-2012
5th pillar: Higher education and training,Syria,106,2011-2012
"5.01 Secondary education enrollment, gross %*",Syria,97,2010-2011
"5.02 Tertiary education enrollment, gross %*",Syria,79,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Syria,109,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Syria,70,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Syria,115,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Syria,131,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Syria,114,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Syria,139,2010-2011
5th pillar: Higher education and training,Syria,107,2010-2011
"5.01 Secondary education enrollment, gross %*",Syria,94,2009-2010
"5.02 Tertiary education enrollment, gross %*",Syria,84,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Syria,96,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Syria,61,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Syria,107,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Syria,126,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Syria,96,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Syria,123,2009-2010
5th pillar: Higher education and training,Syria,104,2009-2010
"5.01 Secondary education enrollment, gross %*",Syria,94,2008-2009
"5.02 Tertiary education enrollment, gross %*",Syria,96,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Syria,91,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Syria,60,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Syria,95,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Syria,123,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Syria,95,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Syria,112,2008-2009
5th pillar: Higher education and training,Syria,101,2008-2009
"5.01 Secondary education enrollment, gross %*",Syria,94,2007-2008
"5.02 Tertiary education enrollment, gross %*",Syria,93,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Syria,102,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Syria,71,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Syria,101,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Syria,121,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Syria,99,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Syria,101,2007-2008
5th pillar: Higher education and training,Syria,104,2007-2008
"5.01 Secondary education enrollment, gross %*","Taiwan, China",43,2017-2018
"5.02 Tertiary education enrollment, gross %*","Taiwan, China",12,2017-2018
"5.03 Quality of the education system, 1-7 (best)","Taiwan, China",31,2017-2018
"5.04 Quality of math and science education, 1-7 (best)","Taiwan, China",18,2017-2018
"5.05 Quality of management schools, 1-7 (best)","Taiwan, China",28,2017-2018
"5.06 Internet access in schools, 1-7 (best)","Taiwan, China",26,2017-2018
"5.07 Availability of research and training services, 1-7 (best)","Taiwan, China",33,2017-2018
"5.08 Extent of staff training, 1-7 (best)","Taiwan, China",25,2017-2018
5th pillar: Higher education and training,"Taiwan, China",17,2017-2018
"5.01 Secondary education enrollment, gross %*","Taiwan, China",40,2016-2017
"5.02 Tertiary education enrollment, gross %*","Taiwan, China",9,2016-2017
"5.03 Quality of the education system, 1-7 (best)","Taiwan, China",30,2016-2017
"5.04 Quality of math and science education, 1-7 (best)","Taiwan, China",15,2016-2017
"5.05 Quality of management schools, 1-7 (best)","Taiwan, China",29,2016-2017
"5.06 Internet access in schools, 1-7 (best)","Taiwan, China",41,2016-2017
"5.07 Availability of research and training services, 1-7 (best)","Taiwan, China",30,2016-2017
"5.08 Extent of staff training, 1-7 (best)","Taiwan, China",22,2016-2017
5th pillar: Higher education and training,"Taiwan, China",17,2016-2017
"5.01 Secondary education enrollment, gross %*","Taiwan, China",31,2015-2016
"5.02 Tertiary education enrollment, gross %*","Taiwan, China",8,2015-2016
"5.03 Quality of the education system, 1-7 (best)","Taiwan, China",46,2015-2016
"5.04 Quality of math and science education, 1-7 (best)","Taiwan, China",15,2015-2016
"5.05 Quality of management schools, 1-7 (best)","Taiwan, China",33,2015-2016
"5.06 Internet access in schools, 1-7 (best)","Taiwan, China",27,2015-2016
"5.07 Availability of research and training services, 1-7 (best)","Taiwan, China",23,2015-2016
"5.08 Extent of staff training, 1-7 (best)","Taiwan, China",27,2015-2016
